Erreur;Ntotal;Nprocessus;Temps(ms)
2.652998634675312E-5;100000000;1;3445
7.803252593125184E-5;100000000;2;1673
1.257367308080578E-4;100000000;4;1074
2.8066525331449137E-5;100000000;8;630
8.770506560683454E-5;100000000;16;433
