Erreur;Ntotal;Nprocessus;Temps(ms)
7.844861411660524E-5;100000000;1;3156
3.164840931658016E-5;100000000;2;1610
7.804117746236309E-5;100000000;4;829
1.0963025056722495E-4;100000000;8;453
8.967932160437934E-6;100000000;16;500
