Erreur;Ntotal;Nprocessus;Temps(ms)
1.2278689592881356E-4;10000000;1;1040
2.1054721688296631E-4;10000000;2;2267
1.4685112332422264E-4;10000000;3;2856
1.362832351029703E-4;10000000;4;3004
4.169052307626122E-4;10000000;5;3207
1.4943506489683357E-5;10000000;6;3762
1.6225732181560773E-4;10000000;7;3573
1.3058777347356052E-4;10000000;8;3777
2.2489736125475982E-5;10000000;9;3654
1.2113168452053957E-4;10000000;10;3924
6.918351109540606E-5;10000000;11;3865
3.162260990959138E-4;10000000;12;4058
