Erreur;Ntotal;Nprocessus;Temps(ms)
5.4604918308157964E-5;100000000;1;3288
2.6752803267141192E-5;200000000;2;3394
1.2121322099531164E-5;300000000;3;3325
7.500131804926464E-5;400000000;4;3338
1.5220273029292321E-6;500000000;5;3590
1.2694279894572445E-5;600000000;6;3923
3.5348371317927213E-6;700000000;7;4858
1.526410170919654E-5;800000000;8;4775
3.488401573812527E-5;900000000;9;5586
1.3026007735261305E-5;1000000000;10;5673
2.5282211592862646E-5;1100000000;11;5460
4.150842549584973E-6;1200000000;12;5264
5.291371325520798E-6;1300000000;13;6160
5.1136541671400935E-6;1400000000;14;6279
2.3666095340377095E-6;1500000000;15;7693
1.0091668049540695E-5;1600000000;16;7955
